Author,Date,Rating,Original_Text,LLM_Summary_and_Sentiment
clive francis,Recent,Pending LLM,"If I could give these ….. a minus I would!!Spent hours on the phone trying to get an unlock code to be told it’s archived and they can’t get it.The store won’t unlock it even though they have a copy of my packing list and can see the laptop in my Apple accountJobsworth process followers that don’t give a damn about customers!!Have had an iPhone since the very first one, 3 MacBook pros, will start learning how to use android now as they’ve had the last of my money!!!",TESTING - AI TURNED OFF
macieYu Beatz,Recent,Pending LLM,"The hardware is reliable, no complaints there. But one thing really bothers me. Big apple logo, huge reputation — and when I called their support line I got some lady who was clearly mopping the floor mid-conversation, couldn't put a sentence together, and had the professionalism of a burnt-out McDonald's employee on a double shift. And this is who I'm supposed to discuss a locked account with — containing documents worth tens of thousands of euros — while she's wringing out a mop? You won't see THAT on their website, because there it has to be luxury and elegance.",TESTING - AI TURNED OFF
D Khandro,Recent,Pending LLM,"Below par and blaséI went to Apple store in Regent St, London on Sat 11 April 2026.When I entered the store there were 3 greeting staff. I passed by one of them because he was engrossed on his phone and not in the least bit interested in who was coming in. (When I was waiting a bit later, I noticed he never once looked up; he had no interest whatsoever in his job.)The other 2 greeters were in a conversation. I decided to butt in and asked to see someone. They said you can just look around. I said No, I came to buy a phone and wanted someone to show me what was available. I was coming from  Adroid.So they put my name down and told me to wait under a tree.Eventually, AK came. He was the only person that I met who was knowledgeable, cosiderate and astute.When I had chosen my phone, I went upstairs to transfer data to the new phone.1. The man forgot to turn on the wifi and bluetooth.2. He said 9 times out of 10 the transfer fails.3. He said the shop wifi was inadequate.4. As we could not access the cloud, I had to leave with a non- functioning phone - no email, no whatsapp and I don't know what else because I kept getting a message saying - complete set up.Now I'm trying to use my old phone on unsecure wifi because the sim is in the new iphone.I'm carrying useless lead weight around with me.Another issue:I decided to buy a cover. I chose the green one but they didn't  have one. The other store didn't have any either. They tried to get me to choose another colour but I was not going to pay £50 for a cover I did not like.I thought Apple would at least have functional technology, if not the wizardry it proclaims from its advertising.They can't even keep a stock check.Fortunately, I found a cover in a local phone shop for £8.",TESTING - AI TURNED OFF
Frances Harman,Recent,Pending LLM,"Arriving at a booked appointment time for a cracked screen repair the Brighton store was very busy, it was 30 minutes past my time before I was fitted in with another 2 customers with a colleague who told us she wasn’t really supposed to be fixing she was just greeting, I was told it couldn’t be fixed that day which was surprising, given I’d said at the appointment booking it was for a broken screen so assumed the relevant part would be available. The colleague and manager were very un empathic, dismissive and patronising in tone and body language towards us. The manager Steven was chewing sweets whilst being very defensive and un helpful in moving forward with the repair, this was not what I expected in a store such as Apple.",TESTING - AI TURNED OFF
Susan Borland,Recent,Pending LLM,"Used the usual fingerprint to access app from their store.  I saw the app advertised as being free but once I had it on my phone and looking through setup, I could see there was a monthly subscription fee.  I did NOT authorise any payment but nevertheless £49 a month is coming out of my account via Apple's fingerprint on phone.  spoke to Apple, they say it isn't through Applepay but my bank says it most definitely is.  Trying to tell Apple that this happened has been impossible.  Their site doesn't allow you to feed back on something unexpected.  They seem to think their business is perfect!  Very unhappy with communications with them - or indeed lack of!!!!",TESTING - AI TURNED OFF
Kimberly Ramirez,Recent,Pending LLM,Got my new Macbook with UPS yesterday ! So happy 5/5,TESTING - AI TURNED OFF
Bellemorte,Recent,Pending LLM,"Would give zero stars if I could...11/4/26 - Surprise! Age verification: I am 62 yrs old for Gods sake - how dare they tell me what I can and cannot access!! 🤬Spoke to Apple support as I was not prepared to give them access to any of  ID's they wanted (lots of personal info on them and they are as crooked as they come), and I was not going to fork out for one of the 'citizen' ID's you could use as you have to pay for them! Horrible person on the other end, in a nutshell, basically told me 'tough!' Looked online and a UK site said other official ID could be used (which I did have). Tried for over 2 hrs and, surprise, surprise, the Apple system did not work. Did some research online and it is not exactly true that the UK Gov want what they re doing - apparently Apple have added a LOT of their own underhanded stuff to it - no surprise there... Wont be purchasing Apple products again - I just don't trust them anymore. Steve Jobs will be turning in his grave 😔",TESTING - AI TURNED OFF
Grant Justin Millican,Recent,Pending LLM,Leaving iPhone asap so many ads for start compared to Samsung and most time phone just doesn’t work when I push things or shopping for example I just hate this in phone 16 so much!!!!!!,TESTING - AI TURNED OFF
sian Jane,Recent,Pending LLM,Anastas.Today 11/4/2026.Was so so professional and helpful today.Very thorough!Thankyou for your help today!Sian 😃,TESTING - AI TURNED OFF
Grim Ghoul,Recent,Pending LLM,"You’ve introduced age verification, and let’s be clear, this looks like a stepping stone toward digital ID.I’ve been a loyal customer for years. I’ve owned:iPhone 13 Pro MaxiPhone 14 Pro MaxiPhone 15 Pro MaxiPhone 16 Pro MaxiPhone 17 Pro MaxBut this is where I draw the line.Governments in countries like the UK and Australia have already pushed for stronger identity systems online, and faced resistance. Now it feels like those same ideas are being introduced indirectly through platforms like Apple Inc..Age verification might sound harmless on the surface, but it opens the door to something much bigger:Increased identity checksReduced anonymity onlineGradual normalisation of digital ID systemsUsing “protecting children” as the justification doesn’t make this risk disappear. Policies like this have a history of expanding beyond their original purpose.This isn’t about politics, it’s about control, privacy, and the direction technology is heading.Because of this change, I won’t be using Apple products going forward.",TESTING - AI TURNED OFF
